Tick,Cotacao,N.acoes,Ebit
AALR3,"9,00",118.293.000,91.324.000
AFLT3,"8,49",63.085.000,24.327.000
AGRO3,"20,01",62.104.300,148.581.000
ALSO3,"27,53",265.773.000,456.020.000
ALUP1
ALUP3,"9,90",879.111.000,2.336.150.000
ALUP4,"7,40",879.111.000,2.336.150.000
AMAR3,"7,44",261.667.000,393.840.000
APER3,"18,60",11.480.000,-2.417.000
AZUL4,"14,87",342.090.000,-1.372.200.000
BALM3,"13,50",9.800.000,11.297.000
BALM4,"9,50",9.800.000,11.297.000
BBAS3,"30,90",2.865.420.000
BBDC3,"17,83",8.870.210.000
BBDC4,"19,54",8.870.210.000
BBRK3,"2,27",36.278.300,-14.623.000
BBSE3,"25,30",2.000.000.000,0
BDLL3,"24,01",1.600.000,-50.668.000
BDLL4,"6,60",1.600.000,-50.668.000
BEEF3,"13,21",485.623.000,1.525.870.000
BIDI1
BIDI3,"9,90",706.953.000
BIDI4,"11,61",706.953.000
BIOM3,"16,58",60.760.000,-44.151.000
BMGB4,"4,64",591.475.000
BPAN4,"5,70",1.205.060.000
BPAR3,"182,07",9.522.000
BRAP3,"30,96",348.034.000,-17.466.000
BRAP4,"34,08",348.034.000,-17.466.000
BRDT3,"22,20",1.165.000.000,2.073.000.000
BRFS3,"23,25",812.473.000,3.135.130.000
BRKM3,"26,55",797.219.000,2.388.660.000
BRKM5,"27,60",797.219.000,2.388.660.000
BRKM6,"18,84",797.219.000,2.388.660.000
BRML3,"10,46",873.141.000,912.564.000
BRPR3,"8,90",491.510.000,234.593.000
BRSR3,"12,73",408.974.000
BRSR5,"23,50",408.974.000
BRSR6,"12,73",408.974.000
BSEV3,"2,63",1.020.430.000,362.991.000
BSLI3,"65,00",36.305.000
BSLI4,"45,00",36.305.000
BTTL3,"4,55",14.861.000,12.791.000
CAML3,"10,08",370.000.000,296.359.000
CARD3,"10,83",41.800.000,47.248.000
CASN3,"18,00",715.094.000,277.539.000
CASN4
CCRO3,"14,70",2.020.000.000,3.384.900.000
CEAB3,"8,90",308.245.000,387.027.000
CEBR3,"63,71",14.416.000,212.138.000
CEBR5,"72,00",14.416.000,212.138.000
CEBR6,"67,99",14.416.000,212.138.000
CEED3,"100,00",9.681.000,-291.966.000
CEED4,"110,00",9.681.000,-291.966.000
CEGR3,"60,00",259.638.000,632.739.000
CEPE3,"24,53",74.612.000,20.904.500
CEPE5,"25,11",74.612.000,20.904.500
CEPE6,"20,00",74.612.000,20.904.500
CESP3,"30,45",327.503.000,564.663.000
CESP5,"29,90",327.503.000,564.663.000
CESP6,"29,20",327.503.000,564.663.000
CGAS3,"160,00",132.521.000,2.441.510.000
CGAS5,"160,23",132.521.000,2.441.510.000
CGRA3,"23,50",20.101.000,42.565.100
CGRA4,"25,10",20.101.000,42.565.100
CLSC3,"56,00",38.572.000,430.657.000
CLSC4,"45,43",38.572.000,430.657.000
CMIG3,"11,28",1.458.750.000,4.756.680.000
CMIG4,"10,93",1.458.750.000,4.756.680.000
COCE3,"37,09",77.855.000,633.719.000
COCE5,"52,89",77.855.000,633.719.000
COCE6,"35,00",77.855.000,633.719.000
COGN3,"5,30",1.876.610.000,750.632.000
CPFE3,"33,61",1.152.250.000,5.007.850.000
CPLE3,"59,52",273.655.000,3.525.180.000
CPLE5,"42,24",273.655.000,3.525.180.000
CPLE6,"63,56",273.655.000,3.525.180.000
CPRE3,"17,02",521.315.000,753.158.000
CRFB3,"18,47",1.984.940.000,3.740.000.000
CSNA3,"9,45",1.387.520.000,4.835.950.000
CTKA3,"13,85",6.205.000,27.973.000
CTKA4,"13,97",6.205.000,27.973.000
CTNM3,"7,73",30.636.000,44.349.000
CTNM4,"4,65",30.636.000,44.349.000
CVCB3,"15,25",149.329.000,705.112.000
CYRE3,"17,50",399.743.000,440.353.000
DIRR3,"10,00",153.399.000,217.421.000
DMMO1
DMMO3,"1,26",270.040.000,-11.158.000
EALT3,"9,01",22.500.000,28.153.000
EALT4,"3,55",22.500.000,28.153.000
EEEL3,"290,00",9.681.000,376.693.000
EEEL4,"547,50",9.681.000,376.693.000
EGIE3,"41,64",815.928.000,3.898.280.000
ENAT3,"10,40",265.807.000,320.693.000
ENEV3,"39,07",315.483.000,979.790.000
ESTR3,"20,00",808.000,-6.737.000
ESTR4,"38,98",808.000,-6.737.000
ETER3,"2,66",31.774.000,-51.302.000
EUCA3,"13,61",92.619.000,152.085.000
EUCA4,"4,50",92.619.000,152.085.000
EVEN3,"7,54",217.000.000,156.722.000
EZTC3,"34,45",227.000.000,176.163.000
FESA3,"25,99",88.320.000,95.749.000
FLRY3,"23,35",316.788.000,522.265.000
GBIO33,"9,97",106.622.000,118.334.000
GEPA3,"38,00",94.433.000,556.635.000
GEPA4,"43,08",94.433.000,556.635.000
GFSA3,"4,18",120.000.000,57.923.000
GOAU4,"6,08",1.087.240.000,2.349.100.000
GOLL1
GOLL4,"12,37",355.699.000,1.813.310.000
GRND3,"7,20",902.160.000,318.637.000
GSHP3,"39,49",1.928.770,24.268.000
HBOR3,"1,92",669.255.000,-47.538.000
HOOT4,"1,90",18.372.000,-101.862.000
HYPE3,"31,00",632.238.000,808.124.000
IGBR3,"2,51",12.505.000,-10.865.000
IGTA3,"35,18",176.612.000,379.459.000
INEP3,"6,19",8.006.280,-293.465.000
INEP4,"5,65",8.006.280,-293.465.000
IRBR3,"7,70",936.000.000,0
ITSA4,"9,11",8.410.810.000,259.000.000
ITUB3,"22,74",9.804.140.000
ITUB4,"23,73",9.804.140.000
JBSS3,"21,76",2.728.750.000,13.704.100.000
JHSF3,"4,76",641.242.000,190.666.000
KLBN1
KLBN3,"4,07",5.409.800.000,1.977.780.000
KLBN4,"3,93",5.409.800.000,1.977.780.000
LAME3,"24,53",1.620.850.000,2.277.640.000
LAME4,"28,90",1.620.850.000,2.277.640.000
LCAM3,"15,12",508.729.000,774.561.000
LEVE3,"17,46",128.308.000,371.344.000
LINX3,"21,25",189.409.000,151.393.000
LIQO3,"4,30",23.459.000,-261.382.000
LLIS3,"5,70",68.851.000,-197.246.000
LOGG3,"24,80",102.159.000,102.126.000
LPSB3,"3,97",147.555.000,20.060.000
LREN3,"39,79",795.590.000,2.385.010.000
LUPA3,"1,55",25.034.000,-33.010.000
LWSA3,"26,50",125.172.000,37.597.000
MDIA3,"37,30",339.000.000,637.037.000
MDNE3,"7,70",84.909.000,23.694.000
MGLU3,"67,36",1.624.730.000,755.803.000
MMXM1
MMXM3,"1,65",6.488.000,-102.917.000
MNDL3,"19,15",2.480.000,36.493.000
MOVI3,"11,50",298.921.000,537.582.000
MRFG3,"13,05",711.370.000,4.207.360.000
MRVE3,"16,62",481.954.000,898.339.000
MTRE3,"12,79",105.775.000,36.612.000
MULT3,"22,54",600.761.000,834.577.000
MYPK3,"14,01",153.720.000,526.150.000
NEOE3,"18,31",1.213.800.000,4.928.240.000
NTCO3,"38,70",1.188.810.000,0
ODPV3,"13,72",531.295.000,452.798.000
OIBR3,"0,70",5.954.210.000,-1.508.620.000
OIBR4,"1,08",5.954.210.000,-1.508.620.000
OSXB3,"3,08",3.148.000,-14.276.000
PARD3,"18,87",130.979.000,208.702.000
PCAR3,"60,38",268.049.000,4.171.000.000
PDGR3,"3,47",8.067.000,-68.440.000
PETR3,"20,65",13.044.500.000,99.904.000.000
PETR4,"19,93",13.044.500.000,99.904.000.000
PMAM3,"10,51",43.404.000,-124.161.000
PNVL3,"23,50",135.480.000,115.391.000
